"hat","true"
"coh1918",1162.103,83
"coh1919",431.672,82
"beta",0.076,0.1
"coh1910",87.743,86
"coh1911",85.364,83
"coh1912",83.39,89
"coh1913",83.015,85
"coh1914",85.734,85
"coh1915",83.104,88
"coh1916",84.27,83
"coh1917",86.889,84
"coh1918",84.88,83
"coh1919",84.913,82
"beta",0.088,0.1
